filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,y,87.9,87.94,40.0,,,
Aardema_maiden_t.wav,a,88.03,88.08,50.0,,,
Aardema_maiden_t.wav,ɔ,88.26,88.32,60.0,,,
Aardema_maiden_t.wav,a,88.5,88.56,60.0,,,
Aardema_maiden_t.wav,aɪ,88.67,88.79,120.0,,,1.458
Aardema_maiden_t.wav,ə,88.87,88.91,40.0,,,
Aardema_maiden_t.wav,a,89.05,89.11,60.0,,,
Aardema_maiden_t.wav,oː,89.25,89.32,70.0,,,
Aardema_maiden_t.wav,aʊ,89.38,89.46,80.0,,,8.753
Aardema_maiden_t.wav,a,89.6,89.69,90.0,,,4.087
Aardema_maiden_t.wav,a,89.78,89.83,50.0,,,
Aardema_maiden_t.wav,a,90.22,90.31,90.0,,,
Aardema_maiden_t.wav,a,90.45,90.51,60.0,,,
Aardema_maiden_t.wav,a,90.61,90.69,80.0,,,4.807
